Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 148/148 [00:00<00:00, 11543.60it/s]
L 0  |vbar|^2 share 0.97  |cos| raw/cen 0.97/0.102  PC1 raw/cen 0.97/0.081  cos(axis,vbar) 1.000  unif axis/rand/cen 0.022/0.5/0.2  ampJ vbar/rand 2.58/0.84  ablk1 0.04/0.104  ablk10 0.05/0.141  gp16 0.001/0.050
L 1  |vbar|^2 share 0.97  |cos| raw/cen 0.97/0.094  PC1 raw/cen 0.97/0.070  cos(axis,vbar) 1.000  unif axis/rand/cen 0.021/0.2/0.2  ampJ vbar/rand 3.14/1.02  ablk1 0.03/0.147  ablk10 0.06/0.199  gp16 0.001/0.100
L 2  |vbar|^2 share 0.98  |cos| raw/cen 0.98/0.094  PC1 raw/cen 0.98/0.076  cos(axis,vbar) 1.000  unif axis/rand/cen 0.018/0.1/0.2  ampJ vbar/rand 3.86/1.14  ablk1 0.02/0.140  ablk10 0.05/0.211  gp16 0.000/0.110
L 3  |vbar|^2 share 0.98  |cos| raw/cen 0.98/0.097  PC1 raw/cen 0.98/0.084  cos(axis,vbar) 1.000  unif axis/rand/cen 0.018/0.3/0.1  ampJ vbar/rand 4.45/1.22  ablk1 0.02/0.122  ablk10 0.05/0.209  gp16 0.000/0.111
L 4  |vbar|^2 share 0.98  |cos| raw/cen 0.98/0.098  PC1 raw/cen 0.98/0.087  cos(axis,vbar) 1.000  unif axis/rand/cen 0.017/0.2/0.1  ampJ vbar/rand 5.14/1.34  ablk1 0.02/0.121  ablk10 0.04/0.211  gp16 0.000/0.116
L 5  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.102  PC1 raw/cen 0.99/0.093  cos(axis,vbar) 1.000  unif axis/rand/cen 0.016/0.2/0.1  ampJ vbar/rand 6.19/1.49  ablk1 0.02/0.129  ablk10 0.04/0.206  gp16 0.000/0.116
L 6  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.098  PC1 raw/cen 0.99/0.092  cos(axis,vbar) 1.000  unif axis/rand/cen 0.017/0.1/0.1  ampJ vbar/rand 6.86/1.54  ablk1 0.02/0.126  ablk10 0.04/0.233  gp16 0.000/0.125
L 7  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.091  PC1 raw/cen 0.99/0.084  cos(axis,vbar) 1.000  unif axis/rand/cen 0.017/0.4/0.1  ampJ vbar/rand 6.81/1.60  ablk1 0.03/0.135  ablk10 0.04/0.243  gp16 0.001/0.140
L 8  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.075  PC1 raw/cen 0.99/0.066  cos(axis,vbar) 1.000  unif axis/rand/cen 0.015/0.1/0.1  ampJ vbar/rand 6.74/1.62  ablk1 0.07/0.162  ablk10 0.08/0.279  gp16 0.005/0.170
L 9  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.068  PC1 raw/cen 0.99/0.059  cos(axis,vbar) 1.000  unif axis/rand/cen 0.013/0.1/0.1  ampJ vbar/rand 6.49/1.58  ablk1 0.08/0.212  ablk10 0.10/0.308  gp16 0.006/0.184
L10  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.084  PC1 raw/cen 0.99/0.085  cos(axis,vbar) 1.000  unif axis/rand/cen 0.015/0.8/0.1  ampJ vbar/rand 6.28/1.74  ablk1 0.04/0.194  ablk10 0.08/0.264  gp16 0.002/0.124
saved results/cone_gpt2.json
