Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 292/292 [00:00<00:00, 2999.07it/s]
L 0  |vbar|^2 share 0.98  |cos| raw/cen 0.98/0.184  PC1 raw/cen 0.98/0.220  cos(axis,vbar) 1.000  unif axis/rand/cen 0.023/0.2/0.3  ampJ vbar/rand 1.27/0.34  ablk1 0.05/0.075  ablk10 0.07/0.116  gp16 0.000/0.030
L 1  |vbar|^2 share 0.98  |cos| raw/cen 0.98/0.148  PC1 raw/cen 0.98/0.160  cos(axis,vbar) 1.000  unif axis/rand/cen 0.023/0.3/0.2  ampJ vbar/rand 1.67/0.37  ablk1 0.06/0.047  ablk10 0.06/0.100  gp16 0.000/0.025
L 2  |vbar|^2 share 0.98  |cos| raw/cen 0.99/0.124  PC1 raw/cen 0.99/0.126  cos(axis,vbar) 1.000  unif axis/rand/cen 0.021/0.3/0.2  ampJ vbar/rand 2.20/0.48  ablk1 0.08/0.054  ablk10 0.09/0.106  gp16 0.000/0.030
L 3  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.125  PC1 raw/cen 0.99/0.128  cos(axis,vbar) 1.000  unif axis/rand/cen 0.019/0.1/0.1  ampJ vbar/rand 2.49/0.53  ablk1 0.09/0.067  ablk10 0.09/0.106  gp16 0.000/0.033
L 4  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.124  PC1 raw/cen 0.99/0.126  cos(axis,vbar) 1.000  unif axis/rand/cen 0.018/0.2/0.1  ampJ vbar/rand 2.65/0.57  ablk1 0.08/0.058  ablk10 0.09/0.101  gp16 0.000/0.037
L 5  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.129  PC1 raw/cen 0.99/0.132  cos(axis,vbar) 1.000  unif axis/rand/cen 0.019/0.4/0.2  ampJ vbar/rand 3.01/0.62  ablk1 0.06/0.073  ablk10 0.07/0.092  gp16 0.000/0.044
L 6  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.129  PC1 raw/cen 0.99/0.129  cos(axis,vbar) 1.000  unif axis/rand/cen 0.019/0.5/0.2  ampJ vbar/rand 3.30/0.69  ablk1 0.06/0.061  ablk10 0.07/0.089  gp16 0.000/0.041
L 7  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.125  PC1 raw/cen 0.99/0.127  cos(axis,vbar) 1.000  unif axis/rand/cen 0.018/0.1/0.1  ampJ vbar/rand 3.62/0.73  ablk1 0.07/0.067  ablk10 0.08/0.095  gp16 0.000/0.041
L 8  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.125  PC1 raw/cen 0.99/0.127  cos(axis,vbar) 1.000  unif axis/rand/cen 0.016/0.2/0.2  ampJ vbar/rand 4.27/0.83  ablk1 0.07/0.070  ablk10 0.08/0.100  gp16 0.000/0.045
L 9  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.114  PC1 raw/cen 0.99/0.117  cos(axis,vbar) 1.000  unif axis/rand/cen 0.015/0.2/0.1  ampJ vbar/rand 4.50/0.88  ablk1 0.07/0.078  ablk10 0.08/0.108  gp16 0.000/0.051
L10  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.108  PC1 raw/cen 0.99/0.108  cos(axis,vbar) 1.000  unif axis/rand/cen 0.014/0.1/0.1  ampJ vbar/rand 5.02/0.94  ablk1 0.06/0.063  ablk10 0.07/0.126  gp16 0.000/0.049
L11  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.094  PC1 raw/cen 0.99/0.090  cos(axis,vbar) 1.000  unif axis/rand/cen 0.013/0.1/0.1  ampJ vbar/rand 5.49/0.98  ablk1 0.07/0.066  ablk10 0.08/0.145  gp16 0.000/0.051
L12  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.088  PC1 raw/cen 0.99/0.082  cos(axis,vbar) 1.000  unif axis/rand/cen 0.013/0.2/0.1  ampJ vbar/rand 5.97/1.07  ablk1 0.05/0.070  ablk10 0.06/0.158  gp16 0.000/0.049
L13  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.082  PC1 raw/cen 0.99/0.078  cos(axis,vbar) 1.000  unif axis/rand/cen 0.012/0.1/0.1  ampJ vbar/rand 6.12/1.11  ablk1 0.04/0.082  ablk10 0.05/0.174  gp16 0.000/0.056
L14  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.078  PC1 raw/cen 0.99/0.074  cos(axis,vbar) 1.000  unif axis/rand/cen 0.012/0.1/0.1  ampJ vbar/rand 6.35/1.15  ablk1 0.02/0.100  ablk10 0.04/0.165  gp16 0.000/0.059
L15  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.069  PC1 raw/cen 0.99/0.062  cos(axis,vbar) 1.000  unif axis/rand/cen 0.011/0.2/0.1  ampJ vbar/rand 6.53/1.18  ablk1 0.02/0.123  ablk10 0.04/0.181  gp16 0.000/0.075
L16  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.062  PC1 raw/cen 0.99/0.055  cos(axis,vbar) 1.000  unif axis/rand/cen 0.009/0.1/0.1  ampJ vbar/rand 6.81/1.19  ablk1 0.02/0.143  ablk10 0.05/0.208  gp16 0.001/0.090
L17  |vbar|^2 share 0.99  |cos| raw/cen 0.99/0.058  PC1 raw/cen 0.99/0.049  cos(axis,vbar) 1.000  unif axis/rand/cen 0.008/0.2/0.1  ampJ vbar/rand 7.19/1.23  ablk1 0.05/0.151  ablk10 0.07/0.226  gp16 0.003/0.102
