Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 7799.65it/s]
HFLensModel(LlamaForCausalLM, n_layers=32, d_model=960)
[     7s +  7.20s] fit: n_layers=32 d_model=960, fitting 31 source layers (target=L31) on 1000 prompts
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:829: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:179.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[ 22m33s + 33.49s]   prompt 40/1000  seq_len=128 n_valid=111  33s  max||J||/sqrt(d)=3.578  max_d_mean=4.68e-02
[ 23m07s + 34.30s]   prompt 41/1000  seq_len=105 n_valid=88  34s  max||J||/sqrt(d)=2.784  max_d_mean=3.64e-02
[ 23m41s + 33.32s]   prompt 42/1000  seq_len=97 n_valid=80  33s  max||J||/sqrt(d)=5.260  max_d_mean=7.00e-02
[ 24m15s + 34.28s]   prompt 43/1000  seq_len=66 n_valid=49  34s  max||J||/sqrt(d)=3.181  max_d_mean=4.04e-02
[ 24m46s + 31.00s]   prompt 44/1000  seq_len=101 n_valid=84  31s  max||J||/sqrt(d)=4.822  max_d_mean=5.96e-02
[ 25m20s + 33.81s]   prompt 45/1000  seq_len=128 n_valid=111  34s  max||J||/sqrt(d)=3.732  max_d_mean=4.42e-02
[ 25m53s + 33.30s]   prompt 46/1000  seq_len=128 n_valid=111  33s  max||J||/sqrt(d)=2.879  max_d_mean=3.08e-02
[ 26m27s + 33.70s]   prompt 47/1000  seq_len=128 n_valid=111  34s  max||J||/sqrt(d)=3.086  max_d_mean=3.38e-02
[ 27m01s + 34.69s]   prompt 48/1000  seq_len=123 n_valid=106  35s  max||J||/sqrt(d)=2.990  max_d_mean=3.20e-02
[ 27m33s + 31.10s]   prompt 49/1000  seq_len=66 n_valid=49  31s  max||J||/sqrt(d)=2.874  max_d_mean=3.20e-02
[ 28m02s + 29.00s]   prompt 50/1000  seq_len=128 n_valid=111  29s  max||J||/sqrt(d)=3.756  max_d_mean=3.98e-02
[ 28m30s + 28.70s]   prompt 51/1000  seq_len=57 n_valid=40  29s  max||J||/sqrt(d)=3.972  max_d_mean=4.54e-02
[ 29m00s + 30.01s]   prompt 52/1000  seq_len=128 n_valid=111  30s  max||J||/sqrt(d)=3.123  max_d_mean=3.04e-02
[ 29m33s + 32.99s]   prompt 53/1000  seq_len=124 n_valid=107  33s  max||J||/sqrt(d)=3.101  max_d_mean=3.02e-02
[ 30m06s + 32.40s]   prompt 54/1000  seq_len=110 n_valid=93  32s  max||J||/sqrt(d)=2.983  max_d_mean=2.99e-02
[ 30m38s + 32.00s]   prompt 55/1000  seq_len=96 n_valid=79  32s  max||J||/sqrt(d)=3.025  max_d_mean=3.02e-02
[ 31m12s + 34.31s]   prompt 56/1000  seq_len=100 n_valid=83  34s  max||J||/sqrt(d)=4.333  max_d_mean=4.37e-02
[ 31m43s + 30.50s]   prompt 57/1000  seq_len=102 n_valid=85  30s  max||J||/sqrt(d)=2.814  max_d_mean=2.78e-02
[ 32m16s + 33.20s]   prompt 58/1000  seq_len=84 n_valid=67  33s  max||J||/sqrt(d)=3.459  max_d_mean=3.38e-02
[ 32m51s + 35.30s]   prompt 59/1000  seq_len=67 n_valid=50  35s  max||J||/sqrt(d)=3.440  max_d_mean=3.36e-02
[ 33m24s + 33.49s]   prompt 60/1000  seq_len=98 n_valid=81  33s  max||J||/sqrt(d)=2.948  max_d_mean=2.66e-02
[ 33m57s + 32.10s]   prompt 61/1000  seq_len=91 n_valid=74  32s  max||J||/sqrt(d)=3.872  max_d_mean=3.56e-02
[ 34m29s + 32.20s]   prompt 62/1000  seq_len=112 n_valid=95  32s  max||J||/sqrt(d)=3.020  max_d_mean=2.77e-02
[ 35m05s + 36.00s]   prompt 63/1000  seq_len=111 n_valid=94  36s  max||J||/sqrt(d)=2.727  max_d_mean=2.36e-02
[ 35m38s + 33.50s]   prompt 64/1000  seq_len=128 n_valid=111  34s  max||J||/sqrt(d)=3.161  max_d_mean=2.62e-02
[ 36m13s + 34.50s]   prompt 65/1000  seq_len=128 n_valid=111  35s  max||J||/sqrt(d)=2.689  max_d_mean=2.20e-02
[ 36m46s + 32.99s]   prompt 66/1000  seq_len=45 n_valid=28  33s  max||J||/sqrt(d)=2.940  max_d_mean=2.65e-02
[ 37m18s + 32.01s]   prompt 67/1000  seq_len=99 n_valid=82  32s  max||J||/sqrt(d)=3.002  max_d_mean=2.56e-02
[ 37m51s + 33.09s]   prompt 68/1000  seq_len=128 n_valid=111  33s  max||J||/sqrt(d)=3.259  max_d_mean=2.54e-02
[ 38m23s + 32.30s]   prompt 69/1000  seq_len=110 n_valid=93  32s  max||J||/sqrt(d)=3.485  max_d_mean=2.81e-02
[ 38m57s + 33.90s]   prompt 70/1000  seq_len=91 n_valid=74  34s  max||J||/sqrt(d)=3.489  max_d_mean=2.88e-02
[ 39m30s + 32.90s]   prompt 71/1000  seq_len=88 n_valid=71  33s  max||J||/sqrt(d)=3.176  max_d_mean=2.50e-02
[ 40m03s + 33.00s]   prompt 72/1000  seq_len=94 n_valid=77  33s  max||J||/sqrt(d)=3.182  max_d_mean=2.54e-02
[ 40m37s + 33.60s]   prompt 73/1000  seq_len=84 n_valid=67  34s  max||J||/sqrt(d)=3.505  max_d_mean=2.79e-02
[ 41m10s + 33.50s]   prompt 74/1000  seq_len=128 n_valid=111  33s  max||J||/sqrt(d)=2.620  max_d_mean=1.91e-02
