n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
138,137,128,111,0.205,1.302445,0.00405873
139,138,128,111,0.202,1.302819,0.00376436
140,139,128,111,0.200,1.303339,0.00377125
141,140,128,111,0.202,1.303343,0.00364005
142,141,128,111,0.280,1.303497,0.00399039
143,142,128,111,0.206,1.303956,0.00436310
144,143,128,111,0.281,1.304237,0.00378149
145,144,128,111,0.208,1.304323,0.00351476
146,145,128,111,0.284,1.304531,0.00394336
147,146,128,111,0.207,1.304726,0.00350985
148,147,128,111,0.279,1.304905,0.00380987
149,148,128,111,0.287,1.305361,0.00371070
150,149,128,111,0.206,1.305425,0.00353417
151,150,128,111,0.202,1.305582,0.00519475
152,151,128,111,0.200,1.305526,0.00447795
153,152,128,111,0.208,1.305181,0.00420118
154,153,128,111,0.202,1.305146,0.00443967
155,154,128,111,0.205,1.304540,0.00375601
156,155,128,111,0.274,1.304240,0.00318135
157,156,128,111,0.201,1.303730,0.00301123
158,157,128,111,0.284,1.303649,0.00299578
159,158,128,111,0.206,1.303375,0.00308954
160,159,128,111,0.201,1.303011,0.00328211
161,160,128,111,0.204,1.302833,0.00310164
162,161,128,111,0.289,1.302827,0.00311435
163,162,128,111,0.206,1.302880,0.00315026
164,163,128,111,0.201,1.302801,0.00275163
165,164,128,111,0.200,1.302778,0.00300167
166,165,128,111,0.287,1.302944,0.00248199
167,166,128,111,0.206,1.303178,0.00297108
168,167,128,111,0.281,1.303506,0.00281128
169,168,128,111,0.206,1.303615,0.00310483
170,169,128,111,0.280,1.303274,0.00267585
171,170,128,111,0.206,1.303553,0.00264776
172,171,128,111,0.281,1.303643,0.00325943
173,172,128,111,0.205,1.303588,0.00303598
174,173,128,111,0.281,1.303374,0.00262834
175,174,128,111,0.206,1.303243,0.00266824
176,175,128,111,0.280,1.303620,0.00267784
177,176,128,111,0.207,1.304235,0.00323914
178,177,128,111,0.278,1.304007,0.00274463
179,178,128,111,0.206,1.304230,0.00307965
180,179,128,111,0.201,1.304347,0.00286190
181,180,128,111,0.200,1.304201,0.00273338
182,181,128,111,0.203,1.304355,0.00264035
183,182,128,111,0.200,1.304686,0.00285382
184,183,128,111,0.200,1.304761,0.00261616
185,184,128,111,0.200,1.305066,0.00301905
186,185,128,111,0.201,1.305043,0.00275407
187,186,128,111,0.201,1.304998,0.00261963
188,187,128,111,0.208,1.304771,0.00308083
189,188,128,111,0.200,1.304615,0.00263821
190,189,128,111,0.287,1.304452,0.00282284
191,190,128,111,0.207,1.304294,0.00258222
192,191,128,111,0.200,1.304518,0.00280684
193,192,128,111,0.199,1.304473,0.00268267
194,193,128,111,0.288,1.304700,0.00255895
195,194,128,111,0.199,1.304704,0.00279847
196,195,128,111,0.286,1.304722,0.00302976
197,196,128,111,0.207,1.304555,0.00279782
198,197,128,111,0.195,1.304576,0.00281220
199,198,128,111,0.283,1.304562,0.00293658
200,199,128,111,0.202,1.304926,0.00302582
201,200,128,111,0.279,1.304780,0.00265603
202,201,128,111,0.206,1.304776,0.00248039
203,202,128,111,0.202,1.304746,0.00327335
204,203,128,111,0.199,1.304788,0.00312299
205,204,128,111,0.287,1.304918,0.00318963
206,205,128,111,0.207,1.304876,0.00249543
207,206,128,111,0.200,1.304609,0.00235075
208,207,128,111,0.200,1.304628,0.00256108
209,208,128,111,0.200,1.304382,0.00289301
210,209,128,111,0.201,1.304578,0.00290751
211,210,128,111,0.278,1.304422,0.00280528
212,211,128,111,0.202,1.304259,0.00276813
213,212,128,111,0.200,1.304375,0.00283129
214,213,128,111,0.199,1.304082,0.00246308
215,214,128,111,0.209,1.303819,0.00258753
216,215,128,111,0.199,1.304102,0.00286786
217,216,128,111,0.210,1.303929,0.00267211
218,217,128,111,0.200,1.304065,0.00275321
219,218,128,111,0.209,1.304254,0.00303579
220,219,128,111,0.277,1.304406,0.00291955
221,220,128,111,0.202,1.304504,0.00221537
222,221,128,111,0.201,1.304527,0.00218275
223,222,128,111,0.201,1.304855,0.00244366
224,223,128,111,0.287,1.305000,0.00224948
225,224,128,111,0.208,1.305078,0.00217276
226,225,128,111,0.200,1.305111,0.00230992
227,226,128,111,0.201,1.305004,0.00219442
228,227,128,111,0.201,1.305128,0.00202664
229,228,128,111,0.278,1.305287,0.00217643
230,229,128,111,0.206,1.305417,0.00249540
231,230,128,111,0.199,1.305343,0.00220641
232,231,128,111,0.278,1.305289,0.00224828
233,232,128,111,0.287,1.305336,0.00224600
234,233,128,111,0.201,1.305372,0.00227942
235,234,128,111,0.200,1.305332,0.00221006
236,235,128,111,0.277,1.305355,0.00204963
237,236,128,111,0.206,1.305140,0.00186402
238,237,128,111,0.279,1.304878,0.00194197
239,238,128,111,0.206,1.304830,0.00202366
240,239,128,111,0.201,1.304774,0.00197530
241,240,128,111,0.200,1.304573,0.00195905
242,241,128,111,0.207,1.304567,0.00206263
243,242,128,111,0.199,1.304296,0.00224131
244,243,128,111,0.207,1.304500,0.00237347
245,244,128,111,0.208,1.304388,0.00230583
246,245,128,111,0.280,1.304380,0.00210254
247,246,128,111,0.205,1.304315,0.00220608
248,247,128,111,0.281,1.304156,0.00210611
249,248,128,111,0.206,1.304260,0.00209061
250,249,128,111,0.278,1.304416,0.00220717
251,250,128,111,0.206,1.304382,0.00219000
252,251,128,111,0.283,1.304296,0.00204757
253,252,128,111,0.209,1.304289,0.00236780
254,253,128,111,0.200,1.304333,0.00232177
255,254,128,111,0.207,1.304441,0.00213903
256,255,128,111,0.199,1.304363,0.00199627
257,256,128,111,0.202,1.304705,0.00237810
258,257,128,111,0.279,1.304670,0.00205707
259,258,128,111,0.205,1.304537,0.00265241
260,259,128,111,0.201,1.304593,0.00262539
261,260,128,111,0.201,1.304649,0.00236419
262,261,128,111,0.287,1.304698,0.00189520
263,262,128,111,0.206,1.304763,0.00186254
264,263,128,111,0.280,1.305035,0.00213794
265,264,128,111,0.206,1.305115,0.00243334
266,265,128,111,0.280,1.305078,0.00243807
267,266,128,111,0.207,1.305199,0.00196611
268,267,128,111,0.279,1.305397,0.00257268
269,268,128,111,0.207,1.305306,0.00201508
270,269,128,111,0.279,1.305122,0.00207448
271,270,128,111,0.206,1.305224,0.00196330
272,271,128,111,0.279,1.305353,0.00191459
273,272,128,111,0.206,1.305411,0.00210477
274,273,128,111,0.201,1.305463,0.00180763
275,274,128,111,0.276,1.305295,0.00179748
276,275,128,111,0.201,1.305421,0.00185159
277,276,128,111,0.201,1.305569,0.00159806
