n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
138,137,128,111,0.017,1.106285,0.03662584
139,138,128,111,0.076,1.106496,0.04346186
140,139,128,111,0.017,1.106186,0.03322441
141,140,128,111,0.067,1.105706,0.04147373
142,141,128,111,0.018,1.106016,0.03582476
143,142,128,111,0.017,1.106710,0.03532482
144,143,128,111,0.075,1.107527,0.03721191
145,144,128,111,0.017,1.108649,0.03865835
146,145,128,111,0.080,1.108971,0.04817155
147,146,128,111,0.081,1.108398,0.06200212
148,147,128,111,0.018,1.108698,0.02990312
149,148,128,111,0.017,1.108964,0.04262039
150,149,128,111,0.075,1.108710,0.03584825
151,150,128,111,0.017,1.108665,0.04356669
152,151,128,111,0.075,1.108233,0.03031503
153,152,128,111,0.018,1.108228,0.03857987
154,153,128,111,0.068,1.107661,0.03689329
155,154,128,111,0.017,1.107065,0.03133834
156,155,128,111,0.079,1.105883,0.05158364
157,156,128,111,0.017,1.105571,0.03278858
158,157,128,111,0.017,1.105336,0.03946302
159,158,128,111,0.077,1.105622,0.02731472
160,159,128,111,0.016,1.105788,0.07168439
161,160,128,111,0.076,1.106021,0.03587693
162,161,128,111,0.017,1.106065,0.04190316
163,162,128,111,0.071,1.105795,0.02939599
164,163,128,111,0.016,1.105710,0.03648497
165,164,128,111,0.079,1.105901,0.03984219
166,165,128,111,0.017,1.106199,0.02696376
167,166,128,111,0.079,1.106320,0.03257785
168,167,128,111,0.017,1.106034,0.03631057
169,168,128,111,0.016,1.105904,0.03520749
170,169,128,111,0.078,1.105560,0.03973915
171,170,128,111,0.017,1.105948,0.03732494
172,171,128,111,0.078,1.106354,0.04448501
173,172,128,111,0.017,1.106107,0.02584869
174,173,128,111,0.074,1.105909,0.02873397
175,174,128,111,0.017,1.105398,0.05005828
176,175,128,111,0.071,1.106144,0.03527735
177,176,128,111,0.017,1.105414,0.03979498
178,177,128,111,0.080,1.105533,0.02144300
179,178,128,111,0.017,1.105071,0.02695526
180,179,128,111,0.080,1.105366,0.02645284
181,180,128,111,0.017,1.105554,0.02268085
182,181,128,111,0.016,1.105601,0.02898132
183,182,128,111,0.078,1.105715,0.02931524
184,183,128,111,0.016,1.105769,0.03924311
185,184,128,111,0.075,1.105463,0.04341922
186,185,128,111,0.016,1.105534,0.03336191
187,186,128,111,0.071,1.105650,0.03353203
188,187,128,111,0.016,1.105119,0.04494452
189,188,128,111,0.080,1.105128,0.03898566
190,189,128,111,0.018,1.104175,0.03782944
191,190,128,111,0.078,1.103962,0.02524019
192,191,128,111,0.017,1.104297,0.03838884
193,192,128,111,0.079,1.103751,0.03419237
194,193,128,111,0.017,1.103508,0.04935391
195,194,128,111,0.081,1.103522,0.02416455
196,195,128,111,0.017,1.102953,0.03724568
197,196,128,111,0.080,1.103252,0.03348185
198,197,128,111,0.017,1.103359,0.03056856
199,198,128,111,0.080,1.103868,0.03048534
200,199,128,111,0.017,1.104502,0.04045460
201,200,128,111,0.016,1.104545,0.02489032
202,201,128,111,0.078,1.104897,0.06089264
203,202,128,111,0.017,1.104831,0.02420806
204,203,128,111,0.075,1.104937,0.04431159
205,204,128,111,0.016,1.104856,0.03383159
206,205,128,111,0.071,1.105024,0.03362647
207,206,128,111,0.017,1.104718,0.02443968
208,207,128,111,0.079,1.104679,0.03421450
209,208,128,111,0.019,1.104400,0.03032703
210,209,128,111,0.017,1.104757,0.03744160
211,210,128,111,0.075,1.104781,0.03440134
212,211,128,111,0.017,1.105705,0.03476487
213,212,128,111,0.076,1.105842,0.02725945
214,213,128,111,0.017,1.105617,0.02481366
215,214,128,111,0.070,1.105570,0.02463738
216,215,128,111,0.017,1.105431,0.02387950
217,216,128,111,0.078,1.105529,0.03765175
218,217,128,111,0.017,1.105197,0.03346088
219,218,128,111,0.016,1.104928,0.02845560
220,219,128,111,0.077,1.104921,0.03165467
221,220,128,111,0.016,1.105007,0.02616687
222,221,128,111,0.078,1.104873,0.02823234
223,222,128,111,0.021,1.104923,0.03720704
224,223,128,111,0.065,1.105153,0.02648743
225,224,128,111,0.018,1.105624,0.03017780
226,225,128,111,0.086,1.105552,0.03080647
227,226,128,111,0.019,1.105556,0.02792041
228,227,128,111,0.070,1.106009,0.02486219
229,228,128,111,0.018,1.106049,0.03627845
230,229,128,111,0.074,1.106429,0.03866899
231,230,128,111,0.018,1.106400,0.03156213
232,231,128,111,0.078,1.105779,0.03481312
233,232,128,111,0.018,1.105955,0.04012881
234,233,128,111,0.079,1.105501,0.02255235
235,234,128,111,0.018,1.105101,0.03145287
236,235,128,111,0.018,1.105322,0.03019633
237,236,128,111,0.076,1.105375,0.02574596
238,237,128,111,0.018,1.105450,0.02214549
239,238,128,111,0.073,1.105120,0.03804398
240,239,128,111,0.018,1.105607,0.02171019
241,240,128,111,0.070,1.105552,0.03286805
242,241,128,111,0.019,1.105238,0.02063036
243,242,128,111,0.076,1.104986,0.02963809
244,243,128,111,0.019,1.105137,0.03545250
245,244,128,111,0.018,1.104995,0.02891904
246,245,128,111,0.076,1.104885,0.02735629
247,246,128,111,0.080,1.104643,0.02801631
248,247,128,111,0.018,1.105254,0.02385787
249,248,128,111,0.078,1.105299,0.02516572
250,249,128,111,0.018,1.105568,0.02476854
251,250,128,111,0.079,1.105507,0.02365614
252,251,128,111,0.018,1.105613,0.02211256
253,252,128,111,0.018,1.105554,0.02057204
254,253,128,111,0.076,1.105706,0.03636604
255,254,128,111,0.023,1.105828,0.03125909
256,255,128,111,0.019,1.106162,0.03378937
257,256,128,111,0.079,1.106032,0.03551113
258,257,128,111,0.019,1.105762,0.02481328
259,258,128,111,0.077,1.105654,0.02893191
260,259,128,111,0.018,1.106076,0.03727652
261,260,128,111,0.078,1.106062,0.03083331
262,261,128,111,0.018,1.106235,0.02077493
263,262,128,111,0.079,1.106384,0.02752580
264,263,128,111,0.018,1.106599,0.02839767
265,264,128,111,0.078,1.106028,0.02888659
266,265,128,111,0.018,1.106220,0.03096316
267,266,128,111,0.078,1.106341,0.02429261
268,267,128,111,0.018,1.106955,0.02738461
269,268,128,111,0.079,1.107570,0.03206326
270,269,128,111,0.018,1.107321,0.02328890
271,270,128,111,0.018,1.107203,0.02480359
272,271,128,111,0.075,1.107232,0.02047832
273,272,128,111,0.082,1.107606,0.02332125
274,273,128,111,0.018,1.107702,0.02029001
275,274,128,111,0.078,1.107717,0.02459336
276,275,128,111,0.018,1.107256,0.02386633
277,276,128,111,0.079,1.106891,0.02302854
278,277,128,111,0.018,1.107031,0.02218040
279,278,128,111,0.079,1.106952,0.01914671
280,279,128,111,0.018,1.106831,0.02284034
281,280,128,111,0.018,1.106511,0.02294762
282,281,128,111,0.076,1.106134,0.02206798
283,282,128,111,0.082,1.106222,0.01584303
284,283,128,111,0.018,1.106034,0.02432733
285,284,128,111,0.078,1.106010,0.02974320
286,285,128,111,0.019,1.105947,0.03047704
287,286,128,111,0.018,1.105752,0.01650374
288,287,128,111,0.074,1.105687,0.02632021
289,288,128,111,0.081,1.105536,0.02143311
290,289,128,111,0.018,1.105559,0.02124735
291,290,128,111,0.079,1.105882,0.02645627
292,291,128,111,0.018,1.106189,0.02228502
293,292,128,111,0.079,1.106577,0.02577970
294,293,128,111,0.018,1.106684,0.02006322
295,294,128,111,0.079,1.106812,0.02418476
296,295,128,111,0.018,1.106880,0.03242966
297,296,128,111,0.079,1.106872,0.01870979
298,297,128,111,0.018,1.107484,0.02841874
299,298,128,111,0.018,1.106630,0.02925569
300,299,128,111,0.075,1.106587,0.02154290
301,300,128,111,0.082,1.106797,0.02422427
302,301,128,111,0.019,1.106514,0.03566171
303,302,128,111,0.077,1.106691,0.02130955
304,303,128,111,0.018,1.106872,0.02230553
305,304,128,111,0.018,1.106690,0.01799785
306,305,128,111,0.076,1.106627,0.02496512
307,306,128,111,0.082,1.106781,0.02675017
308,307,128,111,0.018,1.106922,0.02921026
309,308,128,111,0.079,1.106874,0.01517797
310,309,128,111,0.018,1.106679,0.02521116
311,310,128,111,0.079,1.106558,0.02032880
312,311,128,111,0.018,1.106412,0.02261040
313,312,128,111,0.079,1.106253,0.01846048
314,313,128,111,0.018,1.106028,0.02828839
315,314,128,111,0.078,1.105674,0.02467454
316,315,128,111,0.019,1.105449,0.02690920
317,316,128,111,0.077,1.105376,0.02401231
318,317,128,111,0.018,1.104987,0.02889729
319,318,128,111,0.079,1.105086,0.02010524
320,319,128,111,0.018,1.104971,0.01784005
321,320,128,111,0.017,1.105824,0.02503341
322,321,128,111,0.076,1.106028,0.02455110
323,322,128,111,0.017,1.106174,0.02160551
324,323,128,111,0.079,1.106354,0.02215581
325,324,128,111,0.082,1.106179,0.02251164
326,325,128,111,0.021,1.106295,0.02096208
327,326,128,111,0.076,1.106611,0.02990434
328,327,128,111,0.018,1.106847,0.01950568
329,328,128,111,0.078,1.106651,0.02233026
330,329,128,111,0.019,1.106693,0.02453824
331,330,128,111,0.077,1.106980,0.01272782
