n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
138,137,128,111,0.276,3.487349,0.00383300
139,138,128,111,0.199,3.487747,0.00381660
140,139,128,111,0.207,3.487848,0.00378224
141,140,128,111,0.205,3.487197,0.00363787
142,141,128,111,0.201,3.488471,0.00378691
143,142,128,111,0.273,3.488738,0.00370845
144,143,128,111,0.200,3.489814,0.00382013
145,144,128,111,0.206,3.490363,0.00343806
146,145,128,111,0.199,3.489735,0.00328220
147,146,128,111,0.199,3.489511,0.00348520
148,147,128,111,0.204,3.490147,0.00419469
149,148,128,111,0.274,3.490070,0.00306820
150,149,128,111,0.202,3.488333,0.00372340
151,150,128,111,0.203,3.488810,0.00690340
152,151,128,111,0.272,3.488967,0.00591829
153,152,128,111,0.198,3.488967,0.00529686
154,153,128,111,0.206,3.488021,0.00546678
155,154,128,111,0.273,3.488214,0.00515250
156,155,128,111,0.199,3.487710,0.00325531
157,156,128,111,0.205,3.486137,0.00340990
158,157,128,111,0.274,3.485485,0.00296698
159,158,128,111,0.198,3.485419,0.00324971
160,159,128,111,0.290,3.484738,0.00320255
161,160,128,111,0.213,3.485117,0.00328900
162,161,128,111,0.208,3.484795,0.00323171
163,162,128,111,0.204,3.484339,0.00317370
164,163,128,111,0.274,3.483443,0.00316403
165,164,128,111,0.198,3.482137,0.00346205
166,165,128,111,0.204,3.482153,0.00270952
167,166,128,111,0.194,3.482296,0.00279671
168,167,128,111,0.274,3.481422,0.00300394
169,168,128,111,0.199,3.481055,0.00322663
170,169,128,111,0.205,3.481199,0.00278962
171,170,128,111,0.274,3.481733,0.00279264
172,171,128,111,0.205,3.482607,0.00312459
173,172,128,111,0.276,3.483423,0.00359131
174,173,128,111,0.198,3.483337,0.00294078
175,174,128,111,0.205,3.483873,0.00268833
176,175,128,111,0.268,3.485538,0.00321095
177,176,128,111,0.198,3.485088,0.00289856
178,177,128,111,0.205,3.484713,0.00270092
179,178,128,111,0.274,3.484501,0.00291006
180,179,128,111,0.199,3.484646,0.00277153
181,180,128,111,0.204,3.484490,0.00282770
182,181,128,111,0.274,3.484998,0.00269087
183,182,128,111,0.198,3.485315,0.00262381
184,183,128,111,0.205,3.484467,0.00248591
185,184,128,111,0.203,3.484458,0.00265324
186,185,128,111,0.204,3.484079,0.00263057
187,186,128,111,0.208,3.484049,0.00268839
188,187,128,111,0.197,3.482721,0.00355632
189,188,128,111,0.198,3.483209,0.00276803
190,189,128,111,0.206,3.483484,0.00314544
191,190,128,111,0.204,3.484273,0.00282262
192,191,128,111,0.206,3.484518,0.00274348
193,192,128,111,0.279,3.483823,0.00265951
194,193,128,111,0.206,3.483427,0.00274524
195,194,128,111,0.273,3.483069,0.00275371
196,195,128,111,0.199,3.483610,0.00302021
197,196,128,111,0.205,3.483268,0.00271963
198,197,128,111,0.279,3.483214,0.00274038
199,198,128,111,0.207,3.484548,0.00313555
200,199,128,111,0.280,3.483590,0.00274303
201,200,128,111,0.204,3.482949,0.00262951
202,201,128,111,0.199,3.482871,0.00230661
203,202,128,111,0.198,3.482763,0.00374929
204,203,128,111,0.205,3.482575,0.00337520
205,204,128,111,0.273,3.482617,0.00368715
206,205,128,111,0.201,3.482777,0.00259351
207,206,128,111,0.203,3.483823,0.00258655
208,207,128,111,0.273,3.483503,0.00272253
209,208,128,111,0.198,3.482433,0.00308920
210,209,128,111,0.205,3.482907,0.00303996
211,210,128,111,0.279,3.483761,0.00317339
212,211,128,111,0.207,3.484274,0.00281582
213,212,128,111,0.273,3.484416,0.00286249
214,213,128,111,0.198,3.485523,0.00263763
215,214,128,111,0.205,3.485919,0.00284973
216,215,128,111,0.274,3.485662,0.00273180
217,216,128,111,0.198,3.485867,0.00274081
218,217,128,111,0.206,3.486037,0.00283143
219,218,128,111,0.273,3.486363,0.00300935
220,219,128,111,0.211,3.485995,0.00286922
221,220,128,111,0.198,3.485484,0.00215977
222,221,128,111,0.200,3.485399,0.00245307
223,222,128,111,0.205,3.486514,0.00269130
224,223,128,111,0.200,3.487527,0.00242773
225,224,128,111,0.199,3.487856,0.00236489
226,225,128,111,0.286,3.488480,0.00237027
227,226,128,111,0.200,3.488016,0.00242349
228,227,128,111,0.204,3.488715,0.00222850
229,228,128,111,0.278,3.489578,0.00229625
230,229,128,111,0.295,3.489065,0.00239334
231,230,128,111,0.201,3.488500,0.00218158
232,231,128,111,0.272,3.488309,0.00208617
233,232,128,111,0.200,3.488727,0.00198824
234,233,128,111,0.205,3.488743,0.00245161
235,234,128,111,0.274,3.488797,0.00227163
236,235,128,111,0.199,3.489153,0.00222311
237,236,128,111,0.207,3.489311,0.00210781
238,237,128,111,0.268,3.488878,0.00174142
239,238,128,111,0.199,3.489031,0.00195099
240,239,128,111,0.206,3.487995,0.00209920
241,240,128,111,0.198,3.487396,0.00197271
242,241,128,111,0.199,3.487367,0.00230148
243,242,128,111,0.204,3.486991,0.00223924
244,243,128,111,0.274,3.487146,0.00257967
245,244,128,111,0.208,3.486659,0.00195245
246,245,128,111,0.198,3.486615,0.00208999
247,246,128,111,0.197,3.487503,0.00235584
248,247,128,111,0.285,3.487762,0.00199119
249,248,128,111,0.201,3.488099,0.00201335
250,249,128,111,0.202,3.488229,0.00243084
251,250,128,111,0.274,3.488850,0.00255415
252,251,128,111,0.296,3.489307,0.00237942
